Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Ackermann_Main.bpl/lasso_trace_2.txt,TERMINATING,0.87,76.69,84.43,6.00,TERMINATING,1,4,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Ackermann_Main.bpl/lasso_trace_3.txt,TERMINATING,0.77,47.92,127.62,6.00,TERMINATING,4,4,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Ackermann_Main.bpl/lasso_trace_5.txt,TERMINATING,0.81,67.48,81.67,5.00,TERMINATING,7,8,15,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Ackermann_Main.bpl/lasso_trace_7.txt,TERMINATING,0.63,41.95,41.25,6.00,TERMINATING,10,4,14,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_addition-correct.bpl/lasso_trace_1.txt,TERMINATING,2.29,25.08,37.97,4.00,TERMINATING,0,3,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_addition-correct.bpl/lasso_trace_2.txt,TERMINATING,0.51,43.76,28.25,6.00,TERMINATING,2,3,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_addition-incorrect2.bpl/lasso_trace_1.txt,TERMINATING,2.00,34.29,49.19,4.00,TERMINATING,0,3,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_addition-incorrect2.bpl/lasso_trace_2.txt,TERMINATING,0.84,59.38,68.64,5.00,TERMINATING,2,3,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_addition-incorrect.bpl/lasso_trace_1.txt,TERMINATING,2.31,26.63,32.89,5.00,TERMINATING,0,3,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_addition-incorrect.bpl/lasso_trace_2.txt,TERMINATING,0.51,65.90,81.60,6.00,TERMINATING,2,3,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_afnp2014.c.i_3.bpl/lasso_trace_1.txt,TERMINATING,2.25,68.01,76.09,10.00,TERMINATING,1,2,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AG313.bpl/lasso_trace_1.txt,TERMINATING,1.94,66.11,35.68,8.00,TERMINATING,2,2,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AmazonResearchAward.bpl/lasso_trace_1.txt,TERMINATING,1.77,40.17,65.85,4.00,TERMINATING,0,1,1,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ambigousLoopEntry.bpl/lasso_trace_1.txt,TERMINATING,1.83,28.67,33.49,4.00,TERMINATING,1,2,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ambigousLoopEntry.bpl/lasso_trace_2.txt,TERMINATING,0.67,17.95,26.88,3.00,TERMINATING,1,2,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array1.i_3.bpl/lasso_trace_1.txt,TERMINATING,2.07,55.04,-,30.00,UNKNOWN,1,1,2,Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array2.i_3.bpl/lasso_trace_1.txt,TERMINATING,1.91,72.07,-,5.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array3.i_4.bpl/lasso_trace_1.txt,TERMINATING,2.42,105.59,-,33.00,UNKNOWN,1,1,2,Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array3ManuallyTranslated_true-termination.bpl/lasso_trace_1.txt,TERMINATING,1.97,59.97,50.72,8.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array4.i_4.bpl/lasso_trace_1.txt,TERMINATING,2.56,118.42,-,32.00,UNKNOWN,1,1,2,Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ArrayCellPreciseHavocNeeded.bpl/lasso_trace_1.txt,TERMINATING,1.92,46.18,-,6.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ArrayCopy01-Bakhmut.bpl/lasso_trace_1.txt,TERMINATING,2.22,68.43,-,31.00,UNKNOWN,1,1,2,Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array_equalities.bpl/lasso_trace_1.txt,TERMINATING,2.20,59.14,-,4.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ArrayIndexAndValue01.bpl/lasso_trace_1.txt,TERMINATING,2.52,212.35,-,27.00,TERMINATING,3,2,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ArrayInit01.bpl/lasso_trace_1.txt,TERMINATING,2.07,70.49,-,6.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ArrayInit02.bpl/lasso_trace_1.txt,TERMINATING,2.12,123.74,38.89,11.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ArrayInitialization01.bpl/lasso_trace_1.txt,TERMINATING,2.01,317.09,-,70.00,UNKNOWN,1,2,3,Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array_initilization_bounded.bpl/lasso_trace_1.txt,TERMINATING,2.03,74.39,-,5.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array_initilization.bpl/lasso_trace_1.txt,TERMINATING,1.99,66.74,-,4.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array_initilization_multidimensional2.bpl/lasso_trace_1.txt,TERMINATING,2.15,66.44,-,7.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array_initilization_multidimensional.bpl/lasso_trace_1.txt,TERMINATING,2.10,72.05,-,4.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_array_overwrite.bpl/lasso_trace_1.txt,TERMINATING,2.14,49.22,-,5.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ArrayRead01.bpl/lasso_trace_1.txt,TERMINATING,2.20,76.36,-,6.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ArrayRead02.bpl/lasso_trace_1.txt,TERMINATING,2.13,78.13,-,7.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Arrays20.bpl/lasso_trace_1.txt,TERMINATING,1.99,56.91,-,27.00,UNKNOWN,1,1,2,Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_arraySearchFirstAndLast.bpl/lasso_trace_1.txt,TERMINATING,3.46,438.89,-,35.00,TERMINATING,1,2,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ATVA2013-array-int.bpl/lasso_trace_1.txt,TERMINATING,2.08,45.40,36.12,7.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ATVA2013-bound-int.bpl/lasso_trace_1.txt,TERMINATING,1.85,55.25,40.07,5.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ATVA2013-nonIntegral-int.bpl/lasso_trace_1.txt,TERMINATING,2.00,56.18,37.87,5.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ATVA2013-wild-int.bpl/lasso_trace_1.txt,TERMINATING,2.98,49.44,35.81,4.00,TERMINATING,1,1,2,Affine Template / 2-Nested Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ATVA2013-yPositive-int.bpl/lasso_trace_1.txt,TERMINATING,1.93,52.11,33.83,6.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Avg.bpl/lasso_trace_1.txt,TERMINATING,1.68,78.41,63.16,9.00,TERMINATING,0,3,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Avg.bpl/lasso_trace_2.txt,TERMINATING,0.46,52.00,42.79,15.00,TERMINATING,2,4,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Bangalore3.bpl/lasso_trace_1.txt,TERMINATING,1.87,46.19,39.46,6.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Bangalore.bpl/lasso_trace_1.txt,TERMINATING,1.83,56.02,33.74,4.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Benghazi.bpl/lasso_trace_1.txt,TERMINATING,2.65,45.92,36.86,9.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Betim-Fig3.2-Safe.bpl/lasso_trace_1.txt,TERMINATING,2.10,41.41,38.32,7.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BeyerHenzingerMajumdarRybalchenko-PLDI2007-Figure4.bpl/lasso_trace_1.txt,TERMINATING,1.90,81.55,36.52,10.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_bhmr2007.c.i_3.bpl/lasso_trace_1.txt,TERMINATING,2.31,112.81,77.44,18.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_bhmr2007.c.i_3.bplTransformedIcfg_BEv2_3.bpl/lasso_trace_1.txt,TERMINATING,2.38,101.57,77.03,22.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_bhmr2007.c.i_4.bpl/lasso_trace_1.txt,TERMINATING,2.35,107.18,135.75,12.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_bhmr2007.c.i_5.bpl/lasso_trace_1.txt,TERMINATING,2.31,44.84,59.42,20.00,TERMINATING,1,2,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BigArray.bpl/lasso_trace_1.txt,TERMINATING,2.21,79.74,-,7.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Binomial.bpl/lasso_trace_1.txt,TERMINATING,1.62,93.21,119.17,8.00,TERMINATING,0,3,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_boogieLTL.bpl/lasso_trace_1.txt,TERMINATING,1.95,48.87,35.39,5.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Boulder.bpl/lasso_trace_1.txt,TERMINATING,1.97,47.98,39.69,5.00,TERMINATING,1,1,2,Affine Template / 2-Nested Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_bound-scaled200.bpl/lasso_trace_1.txt,TERMINATING,3.74,888.46,466.47,269.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_bound-scaled400.bpl/lasso_trace_1.txt,TERMINATING,5.18,1179.14,1527.67,1123.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_bound-scaled600.bpl/lasso_trace_1.txt,TERMINATING,7.83,2414.67,4015.50,2348.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Break.bpl/lasso_trace_1.txt,TERMINATING,1.62,57.31,36.35,9.00,TERMINATING,1,1,2,Affine Template / 2-Nested Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BrockschmidtCookFuhs-CAV2013-Fig9a.bpl/lasso_trace_2.txt,TERMINATING,0.40,39.55,29.23,7.00,TERMINATING,1,3,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BrockschmidtCookFuhs-CAV2013-Fig9a.bpl/lasso_trace_4.txt,TERMINATING,0.38,44.95,41.42,6.00,TERMINATING,6,1,7,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_bug-double-call.bpl/lasso_trace_1.txt,TERMINATING,2.02,39.54,36.87,5.00,TERMINATING,2,1,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BugInterpolantConsolidation01.bpl/lasso_trace_1.txt,TERMINATING,2.09,42.24,35.46,8.00,TERMINATING,1,2,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BugMapElimination01-SameAuxVarBug_simple.bpl/lasso_trace_1.txt,TERMINATING,1.98,48.06,-,7.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BugMapElimination02-StoreInIndex.bpl/lasso_trace_1.txt,TERMINATING,1.98,46.14,-,13.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BugMapElimination03-LossOfPrecision.bpl/lasso_trace_1.txt,TERMINATING,0.51,45.38,-,7.00,TERMINATING,2,1,3,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BugMapElimination05-UnsoundnessSimple.bpl/lasso_trace_1.txt,TERMINATING,2.42,42.07,-,4.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_bug-old-stmt-3.bpl/lasso_trace_1.txt,TERMINATING,2.09,49.32,36.30,6.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BugOldVars02.bpl/lasso_trace_1.txt,TERMINATING,2.00,63.10,41.21,8.00,TERMINATING,4,1,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BugOldVars03.bpl/lasso_trace_1.txt,TERMINATING,2.41,82.27,-,12.00,TERMINATING,4,1,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BugOldVars04.bpl/lasso_trace_1.txt,TERMINATING,1.91,44.20,31.83,6.00,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BugRewriteArrays02.bpl/lasso_trace_1.txt,TERMINATING,2.05,81.45,-,6.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_BugRewriteArrays03.bpl/lasso_trace_1.txt,TERMINATING,1.97,118.24,-,13.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_Cairo.bpl/lasso_trace_1.txt,TERMINATING,2.02,70.05,33.10,5.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular.bpl/lasso_trace_1.txt,TERMINATING,1.68,80.30,102.86,6.00,TERMINATING,0,4,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular.bpl/lasso_trace_2.txt,TERMINATING,0.38,26.90,53.24,5.00,TERMINATING,0,2,2,Affine Template / Affine Template
