lassos	nodes	cvc5	z3	Status
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2001TACAS-BallPodelskiRajamani.c/lasso_trace_1.txt	45	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2006CAV-GopanReps-Fig1.c/lasso_trace_1.txt	46	22	11	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2007POPL-GulwaniJojic-Figure3.c/lasso_trace_1.txt	47	48	22	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2013POPL-BenAmGen-Ex3.6.bpl/lasso_trace_1.txt	48	8	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2020ProgVerif-Sheet09Ex01.bpl/lasso_trace_1.txt	49	7	4	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2020ProgVerif-Sheet10Ex04-Square.bpl/lasso_trace_1.txt	50	11	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2020TACAS-Frohn-2Invs.bpl/lasso_trace_1.txt	51	7	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2020TACAS-Frohn-NonDec.bpl/lasso_trace_1.txt	52	7	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_23-windows_os_frag8_true-valid-ltl.c/lasso_trace_1.txt	53	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_232.t2.c/lasso_trace_2.txt	54	5	3	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_232.t2.c/lasso_trace_3.txt	55	6	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_241.t2.c/lasso_trace_2.txt	56	5	3	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_241.t2.c/lasso_trace_3.txt	57	6	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2Nested_true-termination.c/lasso_trace_1.txt	58	10	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2Nested-1_termination.c/lasso_trace_1.txt	59	11	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2Nested-1.c/lasso_trace_1.txt	60	11	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2Nested-2_no-overflow.c/lasso_trace_1.txt	61	10	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_2Nested-2.c/lasso_trace_1.txt	62	11	7	TERMINATING
