Trace Name,Result Code,Ultimate-Fixpoint (ms),Ultimate (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_alternating_list.i_36.bpl/lasso_trace_1.txt,TERMINATING,1.98,395.23,159.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_alternating_list.i_37.bpl/lasso_trace_1.txt,TERMINATING,1.89,254.60,176.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_alternating_list.i_40.bpl/lasso_trace_1.txt,TERMINATING,1.84,403.46,196.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_alternating_list.i_41.bpl/lasso_trace_1.txt,TERMINATING,1.92,409.84,192.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array01-alloca.i_4.bpl/lasso_trace_1.txt,TERMINATING,3.64,198.80,13.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array01-alloca.i_8.bpl/lasso_trace_1.txt,TERMINATING,2.16,90.97,15.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array02-alloca.i_6.bpl/lasso_trace_1.txt,TERMINATING,3.53,94.16,22.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array02-alloca.i_8.bpl/lasso_trace_1.txt,TERMINATING,2.74,121.17,19.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array03-alloca.i_6.bpl/lasso_trace_1.txt,TERMINATING,2.29,154.25,14.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array03-alloca.i_8.bpl/lasso_trace_1.txt,TERMINATING,3.43,249.14,16.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array3.i_3.bpl/lasso_trace_1.txt,TERMINATING,2.29,100.11,15.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array3.i_5.bpl/lasso_trace_1.txt,TERMINATING,7.51,162.07,20.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array3.i_6.bpl/lasso_trace_1.txt,TERMINATING,2.61,141.07,20.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array3.i_8.bpl/lasso_trace_1.txt,TERMINATING,2.38,113.00,18.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array4.i_3.bpl/lasso_trace_1.txt,TERMINATING,2.46,118.72,13.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_array4.i_5.bpl/lasso_trace_1.txt,TERMINATING,3.19,154.02,16.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_Arrays18.bpl/lasso_trace_1.txt,TERMINATING,1.61,1605.79,42.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_10.bpl/lasso_trace_1.txt,TERMINATING,3.31,217.75,35.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_12.bpl/lasso_trace_1.txt,TERMINATING,2.47,240.11,44.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_13.bpl/lasso_trace_1.txt,TERMINATING,2.65,275.45,40.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_14.bpl/lasso_trace_1.txt,TERMINATING,3.40,213.85,42.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_16.bpl/lasso_trace_1.txt,TERMINATING,6.05,343.19,55.00,TERMINATING,1,3,4,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_17.bpl/lasso_trace_1.txt,TERMINATING,2.57,214.32,41.00,TERMINATING,1,3,4,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_18.bpl/lasso_trace_1.txt,TERMINATING,2.39,354.93,53.00,TERMINATING,1,4,5,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_18.bpl/lasso_trace_6.txt,TERMINATING,0.87,1016.99,1218.00,TERMINATING,4,6,10,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_19.bpl/lasso_trace_1.txt,TERMINATING,2.35,291.53,41.00,TERMINATING,1,3,4,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_20.bpl/lasso_trace_1.txt,TERMINATING,2.32,335.53,54.00,TERMINATING,1,3,4,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength2.c_8.bpl/lasso_trace_1.txt,TERMINATING,2.62,114.72,34.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength4.c_7.bpl/lasso_trace_1.txt,TERMINATING,3.14,124.86,115.00,UNKNOWN,1,2,3,Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength4.c_8.bpl/lasso_trace_1.txt,TERMINATING,4.20,193.09,127.00,UNKNOWN,1,1,2,Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength5.c_10.bpl/lasso_trace_1.txt,TERMINATING,3.36,238.65,31.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength5.c_11.bpl/lasso_trace_1.txt,TERMINATING,3.64,282.74,35.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength5.c_11.bpl/lasso_trace_3.txt,TERMINATING,1.02,198.36,37.00,TERMINATING,4,4,8,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength5.c_12.bpl/lasso_trace_1.txt,TERMINATING,2.24,325.16,31.00,TERMINATING,1,3,4,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength5.c_12.bpl/lasso_trace_3.txt,TERMINATING,0.68,238.50,48.00,TERMINATING,5,4,9,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength5.c_13.bpl/lasso_trace_1.txt,TERMINATING,2.36,205.56,23.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength5.c_13.bpl/lasso_trace_4.txt,TERMINATING,0.63,147.21,45.00,TERMINATING,4,3,7,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength5.c_6.bpl/lasso_trace_1.txt,TERMINATING,2.29,86.71,22.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength5.c_8.bpl/lasso_trace_1.txt,TERMINATING,2.29,260.34,23.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength5.c_9.bpl/lasso_trace_1.txt,TERMINATING,3.37,266.45,30.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength6.c_7.bpl/lasso_trace_1.txt,TERMINATING,3.73,124.93,118.00,UNKNOWN,1,2,3,Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength6.c_8.bpl/lasso_trace_1.txt,TERMINATING,3.26,205.06,123.00,UNKNOWN,1,1,2,Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_10.bpl/lasso_trace_1.txt,TERMINATING,7.16,134.38,18.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_11.bpl/lasso_trace_1.txt,TERMINATING,1.91,202.80,14.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_11.bpl/lasso_trace_3.txt,TERMINATING,0.76,147.96,37.00,TERMINATING,4,4,8,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_12.bpl/lasso_trace_1.txt,TERMINATING,2.63,128.30,25.00,TERMINATING,1,3,4,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_12.bpl/lasso_trace_3.txt,TERMINATING,0.87,249.72,44.00,TERMINATING,5,4,9,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_13.bpl/lasso_trace_1.txt,TERMINATING,2.30,179.50,20.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_13.bpl/lasso_trace_5.txt,TERMINATING,0.56,153.41,34.00,TERMINATING,4,3,7,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_6.bpl/lasso_trace_1.txt,TERMINATING,1.97,157.06,11.00,TERMINATING,1,1,2,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_7.bpl/lasso_trace_1.txt,TERMINATING,2.13,218.50,12.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_8.bpl/lasso_trace_1.txt,TERMINATING,2.16,255.73,15.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysOfVariableLength.c_9.bpl/lasso_trace_1.txt,TERMINATING,3.18,181.13,17.00,TERMINATING,1,2,3,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysWithLenghtAtDeclaration.c_10.bpl/lasso_trace_2.txt,TERMINATING,2.04,68.56,27.00,TERMINATING,1,4,5,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysWithLenghtAtDeclaration.c_10.bpl/lasso_trace_4.txt,TERMINATING,1.02,221.09,37.00,TERMINATING,6,5,11,Affine template / Affine template
ATVA2026_benchmark/TERM_LASSO/SI_ARRAYS//lasso_traces_ArraysWithLenghtAtDeclaration.c_10.bpl/lasso_trace_5.txt,TERMINATING,0.63,177.97,31.00,TERMINATING,7,1,8,Affine template / Affine template
