nodes,Ultimate-fixpoint,Ultimate-all,pasttel,label,Stem Size,Loop Size,Total Size Trace,Algo,Total-NonTerminate
1069,"1,34","1,34",3,NONTERMINATING,179,8,187,Fixpoint / Fixpoint,"1,34"
1070,"3,46","154,56",2,NONTERMINATING,22,12,34,GNTA / GNTA,"158,02"
1071,"1,85","169,44",2,NONTERMINATING,6,3,9,GNTA / GNTA,"171,29"
1072,"1,62","112,23",2,NONTERMINATING,0,3,3,GNTA / GNTA,"113,85"
1073,"2,63","117,85",2,NONTERMINATING,0,3,3,GNTA / GNTA,"120,48"
1074,"1,62","115,67",2,NONTERMINATING,0,3,3,GNTA / GNTA,"117,29"
1075,"3,15","3,15",4,NONTERMINATING,3,2,5,Fixpoint / Fixpoint,"3,15"
1076,"1,57","1,57",2,NONTERMINATING,4,2,6,Fixpoint / Fixpoint,"1,57"
1077,"3,3","3,3",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,3"
1078,"4,62","4,62",3,NONTERMINATING,13,9,22,Fixpoint / Fixpoint,"4,62"
1079,"4,37","4,37",3,NONTERMINATING,10,9,19,Fixpoint / Fixpoint,"4,37"
1080,"2,34","2,34",3,NONTERMINATING,19,5,24,Fixpoint / Fixpoint,"2,34"
1081,"3,51","3,51",4,NONTERMINATING,5,4,9,Fixpoint / Fixpoint,"3,51"
1082,"1,61","1,61",3,NONTERMINATING,9,9,18,Fixpoint / Fixpoint,"1,61"
1083,"3,55","3,55",1,NONTERMINATING,0,1,1,Fixpoint / Fixpoint,"3,55"
1084,"2,38","2,38",2,NONTERMINATING,0,1,1,Fixpoint / Fixpoint,"2,38"
1085,2,"38,43",3,NONTERMINATING,1,1,2,GNTA / GNTA,"40,43"
1086,"2,87","2,87",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,87"
1087,"1,95","62,51",14,NONTERMINATING,1,1,2,GNTA / GNTA,"64,46"
1088,"1,89","55,83",9,NONTERMINATING,1,1,2,GNTA / GNTA,"57,72"
