lassos	nodes	Ultimate-all	pasttel	label	Algo
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub03.bpl/lasso_trace_1.txt	37	4.32	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub04.bpl/lasso_trace_1.txt	38	6.83	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub05.bpl/lasso_trace_1.txt	39	6.56	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub06.bpl/lasso_trace_1.txt	40	4.18	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub07.bpl/lasso_trace_1.txt	41	6.55	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub08.bpl/lasso_trace_1.txt	42	6.94	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub09.bpl/lasso_trace_1.txt	43	5.9	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_addNotUpdatedVar.bpl/lasso_trace_1.txt	44	2.8	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_afagp-fail.t2.c/lasso_trace_1.txt	45	1646.79	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_afagx1.t2.c/lasso_trace_1.txt	46	2.88	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_AffineTerms.c/lasso_trace_1.txt	47	5.36	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_agafp.t2.c/lasso_trace_1.txt	48	2404.52	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_AiHelpful.bpl/lasso_trace_1.txt	49	3.59	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_and-01-false_no-overflow.c/lasso_trace_1.txt	50	98.66	2	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_and-01-false.c/lasso_trace_1.txt	51	110.44	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_and-02-false_no-overflow.c/lasso_trace_1.txt	52	117.54	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_and-02-false.c/lasso_trace_1.txt	53	132.16	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_and-03-false_termination.c/lasso_trace_1.txt	54	2.7	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_and-03-false.c/lasso_trace_1.txt	55	3.23	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_and-04-false_termination.c/lasso_trace_1.txt	56	2.73	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_and-04-false.c/lasso_trace_1.txt	57	3.02	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_AnnoyingVillain.bpl/lasso_trace_1.txt	58	75.71	3	NONTERMINATING	GNTA / GNTA
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_apchild-accepted-fail.t2.c/lasso_trace_3.txt	59	2.91	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_apchild-accepted.t2.c/lasso_trace_3.txt	60	3.22	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_apchild-live.t2.c/lasso_trace_4.txt	61	4.54	2	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_apchildlive-succeed.t2.c/lasso_trace_3.txt	62	2.99	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_b.03-no-inv.c/lasso_trace_1.txt	63	22.69	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_b.03.c/lasso_trace_1.txt	64	18.29	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_b.08.c/lasso_trace_1.txt	65	3.1	1	NONTERMINATING	Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_b.09-no-inv.c/lasso_trace_1.txt	66	53.83	4	NONTERMINATING	GNTA / GNTA
