Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),Termination Cumul(ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-complex_no-overflow.c/lasso_trace_3.txt,TERMINATING,"0,37","111,11","29,83","141,31",22,TERMINATING,10,1,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-complex_no-overflow.c/lasso_trace_4.txt,TERMINATING,"0,59","81,51","30,74","112,84",21,TERMINATING,11,1,12,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c/lasso_trace_1.txt,TERMINATING,"2,2","117,25","94,57","214,02",8,TERMINATING,5,2,7,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c/lasso_trace_2.txt,TERMINATING,"0,87","124,48","71,09","196,44",22,TERMINATING,8,1,9,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c/lasso_trace_3.txt,TERMINATING,"0,47","121,65","34,61","156,73",22,TERMINATING,10,1,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c/lasso_trace_4.txt,TERMINATING,"0,44","78,68","30,15","109,27",22,TERMINATING,11,1,12,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-complex.c/lasso_trace_1.txt,TERMINATING,"2,81","107,68","96,15","206,64",8,TERMINATING,5,2,7,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-complex.c/lasso_trace_2.txt,TERMINATING,"0,74","125,95","70,91","197,6",20,TERMINATING,8,1,9,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-complex.c/lasso_trace_3.txt,TERMINATING,"0,46","106,68","27,99","135,13",21,TERMINATING,10,1,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-complex.c/lasso_trace_4.txt,TERMINATING,"0,66","73,44","29,24","103,34",21,TERMINATING,11,1,12,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b_no-overflow.c/lasso_trace_2.txt,TERMINATING,"2,63","54,25","51,78","108,66",9,TERMINATING,5,6,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b_no-overflow.c/lasso_trace_3.txt,TERMINATING,"0,78","122,49","122,82","246,09",8,TERMINATING,6,2,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b_no-overflow.c/lasso_trace_4.txt,TERMINATING,"0,41","93,83","147,86","242,1",8,TERMINATING,11,2,13,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b_no-overflow.c/lasso_trace_5.txt,TERMINATING,"0,31","82,28","130,18","212,77",8,TERMINATING,14,2,16,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c/lasso_trace_2.txt,TERMINATING,"2,79","54,82","44,99","102,6",8,TERMINATING,5,6,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c/lasso_trace_3.txt,TERMINATING,"0,51","136,49","138,5","275,5",8,TERMINATING,6,2,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c/lasso_trace_4.txt,TERMINATING,"0,54","101,55","178,37","280,46",9,TERMINATING,11,2,13,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c/lasso_trace_5.txt,TERMINATING,"0,33","76,1","138,82","215,25",8,TERMINATING,14,2,16,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b.c/lasso_trace_2.txt,TERMINATING,"2,14","58,41","49,64","110,19",8,TERMINATING,5,6,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b.c/lasso_trace_3.txt,TERMINATING,"0,54","129,16","133,16","262,86",8,TERMINATING,6,2,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b.c/lasso_trace_4.txt,TERMINATING,"0,39","95,27","162,63","258,29",8,TERMINATING,11,2,13,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-counterex1b.c/lasso_trace_5.txt,TERMINATING,"0,37","84,85","131,27","216,49",8,TERMINATING,14,2,16,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-easy1_no-overflow.c/lasso_trace_1.txt,TERMINATING,"2,04","116,92","60,48","179,44",13,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-easy1_true-termination.c/lasso_trace_1.txt,TERMINATING,"2,09","121,92","67,66","191,67",13,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-easy1.c/lasso_trace_1.txt,TERMINATING,"2,18","124,33","68,18","194,69",12,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-easy2_true-termination.c/lasso_trace_1.txt,TERMINATING,"2,03","65,84","80,55","148,42",7,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-easy2-1_no-overflow.c/lasso_trace_1.txt,TERMINATING,"2,06","70,86","83,36","156,28",7,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-easy2-1.c/lasso_trace_1.txt,TERMINATING,"1,98","73,56","86,26","161,8",7,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-easy2-2_no-overflow.c/lasso_trace_1.txt,TERMINATING,"1,92","68,7","75,07","145,69",6,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-easy2-2.c/lasso_trace_1.txt,TERMINATING,"2,15","73,21","78,71","154,07",6,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-exmini_no-overflow.c/lasso_trace_1.txt,TERMINATING,"2,06","140,74","35,79","178,59",11,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c/lasso_trace_1.txt,TERMINATING,"2,15","140,77","35,44","178,36",11,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-exmini.c/lasso_trace_1.txt,TERMINATING,"2,16","143,41","36,16","181,73",11,TERMINATING,5,1,6,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1_no-overflow.c/lasso_trace_1.txt,TERMINATING,"1,85","58,7","108,71","169,26",7,TERMINATING,5,3,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1_no-overflow.c/lasso_trace_2.txt,TERMINATING,"0,38","102,52","102,62","205,52",8,TERMINATING,9,2,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1_no-overflow.c/lasso_trace_4.txt,TERMINATING,"0,45","42,3","92,93","135,68",8,TERMINATING,11,6,17,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1_no-overflow.c/lasso_trace_6.txt,TERMINATING,"0,3","86,75","109,74","196,79",8,TERMINATING,15,2,17,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1_no-overflow.c/lasso_trace_8.txt,TERMINATING,"0,29","88,19","123,73","212,21",9,TERMINATING,32,3,35,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c/lasso_trace_1.txt,TERMINATING,"2,01","55,21","122,61","179,83",7,TERMINATING,5,3,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c/lasso_trace_2.txt,TERMINATING,"0,41","107,2","121,42","229,03",8,TERMINATING,9,2,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c/lasso_trace_4.txt,TERMINATING,"0,5","39,87","96,87","137,24",8,TERMINATING,11,6,17,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c/lasso_trace_6.txt,TERMINATING,"0,3","84,75","119,27","204,32",8,TERMINATING,15,2,17,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c/lasso_trace_8.txt,TERMINATING,"0,29","82,35","132,95","215,59",8,TERMINATING,32,3,35,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1.c/lasso_trace_1.txt,TERMINATING,"2,57","58,84","122,73","184,14",6,TERMINATING,5,3,8,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1.c/lasso_trace_2.txt,TERMINATING,"0,37","108,18","108,72","217,27",8,TERMINATING,9,2,11,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1.c/lasso_trace_4.txt,TERMINATING,"0,36","39,31","88,19","127,86",8,TERMINATING,11,6,17,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1.c/lasso_trace_6.txt,TERMINATING,"0,29","85,79","116,11","202,19",7,TERMINATING,15,2,17,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig1.c/lasso_trace_8.txt,TERMINATING,"0,24","95,09","122,25","217,58",8,TERMINATING,32,3,35,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2a_no-overflow.c/lasso_trace_2.txt,TERMINATING,"1,88","128,22","119,04","249,14",8,TERMINATING,5,4,9,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c/lasso_trace_2.txt,TERMINATING,"2,21","132,62","144,06","278,89",10,TERMINATING,5,4,9,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2a.c/lasso_trace_2.txt,TERMINATING,"2,06","134,08","132,97","269,11",8,TERMINATING,5,4,9,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_10.txt,TERMINATING,"0,3","55,48","25,9","81,68",9,TERMINATING,14,11,25,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_11.txt,TERMINATING,"0,27","115,8","49,59","165,66",13,TERMINATING,21,11,32,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_12.txt,TERMINATING,"0,24","115,57","156,7","272,51",9,TERMINATING,14,13,27,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_13.txt,TERMINATING,"0,25","83,21","85,27","168,73",9,TERMINATING,18,13,31,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_14.txt,TERMINATING,"0,28","100,76","38,94","139,98",9,TERMINATING,25,4,29,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_15.txt,TERMINATING,"0,32","110,64","40,88","151,84",9,TERMINATING,25,15,40,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_2.txt,TERMINATING,"1,82","65,54","63,15","130,51",8,TERMINATING,5,4,9,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b_no-overflow.c/lasso_trace_4.txt,TERMINATING,"0,28","51,01","25,91","77,2",9,TERMINATING,8,2,10,Affine Template / Affine Template
