lassos	nodes	Ultimate-all	pasttel	label	Algo
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n_firewire_instrumented-PP.t2.c/lasso_trace_11.txt	1601	851.11	9	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n_firewire_instrumented-PP.t2.c/lasso_trace_13.txt	1602	561.49	9	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n_firewire_instrumented-PP.t2.c/lasso_trace_14.txt	1603	319.94	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n_firewire_instrumented-PP.t2.c/lasso_trace_15.txt	1604	401.95	9	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n_firewire_instrumented-PP.t2.c/lasso_trace_16.txt	1605	871.64	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n_firewire_instrumented-PP.t2.c/lasso_trace_9.txt	1606	312.06	11	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n-15a.t2.c/lasso_trace_1.txt	1607	209.98	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n-17.t2.c/lasso_trace_1.txt	1608	128.65	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n-4.t2.c/lasso_trace_1.txt	1609	331.86	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n-40.t2.c/lasso_trace_2.txt	1610	198.23	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n-40.t2.c/lasso_trace_3.txt	1611	264.71	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n-40.t2.c/lasso_trace_4.txt	1612	199.28	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n-5.t2.c/lasso_trace_1.txt	1613	549.63	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_n-6a.t2.c/lasso_trace_1.txt	1614	263.19	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata_withassume.t2.c/lasso_trace_1.txt	1615	313.16	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata_withassume.t2.c/lasso_trace_16.txt	1616	646.43	9	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata_withassume.t2.c/lasso_trace_17.txt	1617	304.33	11	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata_withassume.t2.c/lasso_trace_2.txt	1618	562.02	24	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata_withassume.t2.c/lasso_trace_5.txt	1619	407.42	29	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata.t2.c/lasso_trace_1.txt	1620	331.94	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata.t2.c/lasso_trace_16.txt	1621	535.31	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata.t2.c/lasso_trace_18.txt	1622	865	26	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata.t2.c/lasso_trace_20.txt	1623	846.96	37	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata.t2.c/lasso_trace_3.txt	1624	580.21	9	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata.t2.c/lasso_trace_5.txt	1625	619.38	25	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nakata.t2.c/lasso_trace_9.txt	1626	474.09	30	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Nconcurrent_FourLoopsAlternating_nonterminating.bpl/lasso_trace_1.txt	1627	107.86	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Nconcurrent_ThreeThreadsComplexAlternation_nonterminating.bpl/lasso_trace_1.txt	1628	118.43	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ndes.t2.c/lasso_trace_1.txt	1629	2528.71	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ndes.t2.c/lasso_trace_2.txt	1630	387.89	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ndes.t2.c/lasso_trace_9.txt	1631	842.17	10	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-1394complete-fail.t2.c/lasso_trace_1.txt	1632	292.08	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-1394complete-fail.t2.c/lasso_trace_2.txt	1633	1536.97	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-1394complete-fail.t2.c/lasso_trace_3.txt	1634	1054.58	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-1394complete-fail.t2.c/lasso_trace_4.txt	1635	1158.3	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-1394complete-fail.t2.c/lasso_trace_5.txt	1636	1153.43	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-1394complete-succeed.t2.c/lasso_trace_1.txt	1637	272.45	9	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-1394complete-succeed.t2.c/lasso_trace_2.txt	1638	1545.11	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-1394complete-succeed.t2.c/lasso_trace_3.txt	1639	1042.37	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-e-1394complete-fail.t2.c/lasso_trace_1.txt	1640	313.51	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-e-1394complete-fail.t2.c/lasso_trace_2.txt	1641	911.93	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-e-1394complete-fail.t2.c/lasso_trace_3.txt	1642	1415.21	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-e-1394complete-succeed.t2.c/lasso_trace_1.txt	1643	311.09	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-e-1394complete-succeed.t2.c/lasso_trace_2.txt	1644	905.73	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-e-1394complete-succeed.t2.c/lasso_trace_3.txt	1645	1433.14	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-e-popl07-succeed.t2.c/lasso_trace_1.txt	1646	596.07	10	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-popl07-fail.t2.c/lasso_trace_1.txt	1647	601.1	10	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-popl07-succeed.t2.c/lasso_trace_1.txt	1648	580.31	8	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-smagilla-fail.t2.c/lasso_trace_1.txt	1649	410.26	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_neg-smagilla-succeed.t2.c/lasso_trace_1.txt	1650	176.17	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_nest-if3.i_2.bpl/lasso_trace_1.txt	1651	199.93	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Nested-2_no-overflow.c/lasso_trace_2.txt	1652	85.1	5	TERMINATING	Affine Template / Affine Template
