nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
86	1.88	60.70	7.00	TERMINATING	7	1	8	Affine template / Affine template
87	1.96	58.53	10.00	TERMINATING	7	1	8	Affine template / Affine template
88	2.08	50.71	6.00	TERMINATING	7	1	8	Affine template / Affine template
89	2.09	52.95	5.00	TERMINATING	7	1	8	Affine template / Affine template
90	1.81	43.30	5.00	TERMINATING	5	2	7	Affine template / Affine template
91	1.93	51.60	7.00	TERMINATING	5	2	7	Affine template / Affine template
92	1.82	58.07	7.00	TERMINATING	8	4	12	Affine template / Affine template
93	2.22	61.64	7.00	TERMINATING	8	4	12	Affine template / Affine template
94	2.06	2164.91	212.00	TERMINATING	6	6	12	Affine template / Affine template
95	1.73	53.60	5.00	TERMINATING	5	6	11	Affine template / Affine template
96	1.75	85.10	15.00	TERMINATING	5	1	6	Affine template / Affine template
97	2.27	1610.03	47.00	TERMINATING	5	1	6	2 template / Nested template
98	2.02	59.60	11.00	TERMINATING	5	2	7	Affine template / Affine template
99	0.51	109.29	21.00	TERMINATING	8	1	9	Affine template / Affine template
100	0.49	153.86	29.00	TERMINATING	11	1	12	Affine template / Affine template
101	2.88	61.57	10.00	TERMINATING	5	6	11	Affine template / Affine template
102	0.44	40.96	9.00	TERMINATING	6	2	8	Affine template / Affine template
103	0.36	42.25	10.00	TERMINATING	11	2	13	Affine template / Affine template
104	0.30	39.79	10.00	TERMINATING	14	2	16	Affine template / Affine template
105	2.06	126.41	17.00	TERMINATING	5	1	6	Affine template / Affine template
106	1.91	59.04	9.00	TERMINATING	5	1	6	Affine template / Affine template
107	1.99	85.37	14.00	TERMINATING	5	1	6	Affine template / Affine template
108	2.26	50.46	13.00	TERMINATING	5	3	8	Affine template / Affine template
109	0.25	38.03	9.00	TERMINATING	32	3	35	Affine template / Affine template
110	0.37	59.15	9.00	TERMINATING	9	2	11	Affine template / Affine template
111	0.41	48.56	9.00	TERMINATING	11	6	17	Affine template / Affine template
112	0.29	40.97	11.00	TERMINATING	15	8	23	Affine template / Affine template
113	0.28	37.52	10.00	TERMINATING	15	2	17	Affine template / Affine template
114	1.96	54.75	12.00	TERMINATING	5	4	9	Affine template / Affine template
115	0.27	41.74	9.00	TERMINATING	14	11	25	Affine template / Affine template
116	0.25	37.17	12.00	TERMINATING	21	2	23	Affine template / Affine template
117	0.27	34.38	11.00	TERMINATING	21	11	32	Affine template / Affine template
118	0.26	46.36	10.00	TERMINATING	23	4	27	Affine template / Affine template
119	1.90	63.78	12.00	TERMINATING	5	4	9	Affine template / Affine template
120	0.33	41.32	14.00	TERMINATING	8	2	10	Affine template / Affine template
121	0.29	79.87	22.00	TERMINATING	13	5	18	Affine template / Affine template
122	0.26	42.10	10.00	TERMINATING	15	4	19	Affine template / Affine template
123	0.35	35.47	11.00	TERMINATING	17	2	19	Affine template / Affine template
124	0.33	44.53	9.00	TERMINATING	19	4	23	Affine template / Affine template
125	1.73	61.17	9.00	TERMINATING	6	3	9	Affine template / Affine template
126	1.83	56.60	12.00	TERMINATING	5	1	6	Affine template / Affine template
127	1.96	77.10	10.00	TERMINATING	6	2	8	Affine template / Affine template
128	0.48	51.04	9.00	TERMINATING	8	1	9	Affine template / Affine template
129	0.55	43.87	10.00	TERMINATING	9	2	11	Affine template / Affine template
130	0.34	42.55	12.00	TERMINATING	10	4	14	Affine template / Affine template
131	0.26	37.11	12.00	TERMINATING	11	2	13	Affine template / Affine template
132	2.06	110.45	19.00	TERMINATING	6	1	7	Affine template / Affine template
133	1.68	519.18	46.00	TERMINATING	5	1	6	Affine template / Affine template
134	2.07	122.28	18.00	TERMINATING	6	1	7	Affine template / Affine template
135	2.01	125.58	13.00	TERMINATING	6	1	7	Affine template / Affine template
136	2.13	97.95	16.00	TERMINATING	6	1	7	Affine template / Affine template
137	2.01	68.20	12.00	TERMINATING	5	1	6	Affine template / Affine template
138	1.88	62.42	8.00	TERMINATING	5	2	7	Affine template / Affine template
139	0.40	45.70	9.00	TERMINATING	7	1	8	Affine template / Affine template
140	0.44	41.34	8.00	TERMINATING	6	1	7	Affine template / Affine template
