Trace Name,Result Code,Ultimate-Fixpoint (ms),Ultimate (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_a.03.c/lasso_trace_3.txt,NONTERMINATING,2.22,2.22,7.00,NONTERMINATING,3,1,4,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_a.03-no-inv.c/lasso_trace_3.txt,NONTERMINATING,2.18,2.18,6.00,NONTERMINATING,3,1,4,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_a.03.real.c/lasso_trace_3.txt,NONTERMINATING,1.86,1.86,4.00,NONTERMINATING,3,2,5,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_a.03.real-no-inv.c/lasso_trace_3.txt,NONTERMINATING,2.16,2.16,4.00,NONTERMINATING,3,2,5,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_a.09.c/lasso_trace_1.txt,NONTERMINATING,3.26,3.26,1.00,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_Ack.c/lasso_trace_2.txt,NONTERMINATING,0.93,53.80,4.00,NONTERMINATING,12,4,16,GNTA / GNTA
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_Ackermann_false-termination.c/lasso_trace_1.txt,NONTERMINATING,2.29,55.20,3.00,NONTERMINATING,7,4,11,GNTA / GNTA
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_acqrel-fail.t2.c/lasso_trace_1.txt,NONTERMINATING,3.07,3.07,1.00,NONTERMINATING,32,30,62,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_ACSL-array_loop_invariant.c/lasso_trace_1.txt,NONTERMINATING,3.18,3.18,2.00,NONTERMINATING,6,3,9,Fixpoint / Fixpoint
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/NON_TERM_LASSO//lasso_traces_ACSL-at.c/lasso_trace_1.txt,NONTERMINATING,3.28,3.28,1.00,NONTERMINATING,8,3,11,Fixpoint / Fixpoint
