Trace Name,Result Code,Ultimate-Fixpoint (ms),Ultimate (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_2007POPL-GulwaniJojic-Figure3.c/lasso_trace_1.txt,TERMINATING,1.86,82.09,15.00,TERMINATING,5,2,7,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_232.t2.c/lasso_trace_2.txt,TERMINATING,1.54,49.00,5.00,TERMINATING,20,23,43,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_232.t2.c/lasso_trace_3.txt,TERMINATING,0.70,33.72,5.00,TERMINATING,25,13,38,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_241.t2.c/lasso_trace_2.txt,TERMINATING,1.53,46.19,5.00,TERMINATING,20,23,43,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_241.t2.c/lasso_trace_3.txt,TERMINATING,1.00,34.76,7.00,TERMINATING,25,13,38,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_2Nested_true-termination.c/lasso_trace_1.txt,TERMINATING,2.15,122.64,13.00,TERMINATING,5,1,6,2 template / Nested template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_2.t2.c/lasso_trace_1.txt,TERMINATING,9.48,76.20,9.00,TERMINATING,85,14,99,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_4BitCounterPointer-safe.c/lasso_trace_1.txt,TERMINATING,2.04,282.99,143.00,TERMINATING,9,5,14,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_4BitCounterPointer_true-termination.c/lasso_trace_1.txt,TERMINATING,3.49,144.40,46.00,TERMINATING,9,5,14,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_4NestedWith3Variables_true-termination.c/lasso_trace_1.txt,TERMINATING,2.27,315.35,32.00,UNKNOWN,5,1,6,3 template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_960521-1_1_true-valid-memsafety.c/lasso_trace_1.txt,TERMINATING,2.01,66.66,8.00,TERMINATING,5,2,7,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_960521-1_1_true-valid-memsafety.c/lasso_trace_2.txt,TERMINATING,0.68,84.15,29.00,TERMINATING,11,2,13,Affine template / Affine template
CP26_BENCHMARK_FINAL/BENCHMARK_SIMPLE_C_BPL/TERM_LASSO//lasso_traces_a.01-alloca_true-termination.c/lasso_trace_3.txt,TERMINATING,2.62,106.25,54.00,TERMINATING,10,15,25,Affine template / Affine template
